timestamp,source,action,details
1777893695.7630231,USB_RELAY,off,relay=3;response=relay on
1777893698.7646954,USB_RELAY,on,relay=3;response=3  >relay
1777893698.7783365,USB_RELAY,off,relay=3;response=off 3  >
1777893701.7827082,USB_RELAY,on,relay=3;response=relay on
1777893701.7935414,USB_RELAY,off,relay=3;response=3  >relay
1777893704.7945447,USB_RELAY,on,relay=3;response=off 3  >
1777893704.807788,USB_RELAY,off,relay=3;response=relay on
1777893707.8089094,USB_RELAY,on,relay=3;response=3  >relay
1777893707.8211231,USB_RELAY,off,relay=3;response=off 3  >
1777893710.8244672,USB_RELAY,on,relay=3;response=relay on
1777893710.8368337,USB_RELAY,off,relay=3;response=3  >relay
1777893713.84255,USB_RELAY,on,relay=3;response=off 3  >
1777893713.854069,USB_RELAY,off,relay=3;response=relay on
1777893716.85684,USB_RELAY,on,relay=3;response=3  >relay
1777893716.8676274,USB_RELAY,off,relay=3;response=off 3  >
1777893719.8711364,USB_RELAY,on,relay=3;response=relay on
1777893719.8837194,USB_RELAY,off,relay=3;response=3  >relay
1777893722.885017,USB_RELAY,on,relay=3;response=off 3  >
1777893722.8986228,USB_RELAY,off,relay=3;response=relay on
1777893725.8996193,USB_RELAY,on,relay=3;response=3  >relay
1777893725.9120417,USB_RELAY,off,relay=3;response=off 3  >
1777893728.9155214,USB_RELAY,on,relay=3;response=relay on
1777893728.9262366,USB_RELAY,off,relay=3;response=3  >relay
1777893731.9276013,USB_RELAY,on,relay=3;response=off 3  >
1777893731.9419546,USB_RELAY,off,relay=3;response=relay on
1777893735.0437667,STM_PIN,high,pin=7
1777893735.0437667,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777893754.360995,STM_PIN,low,pin=7
1777893754.360995,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777893754.416938,USB_RELAY,on,relay=3;response=3  >relay
1777893754.4278743,USB_RELAY,off,relay=3;response=off 3  >
1777893760.5015395,STM_PIN,low,pin=6
1777893760.5015395,POLARITY,cool,pin=6
1777893760.5282493,STM_PIN,high,pin=7
1777893760.5282493,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777894077.2975585,STM_PIN,low,pin=7
1777894077.2986245,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777894077.363278,USB_RELAY,on,relay=3;response=relay on
1777894077.37388,USB_RELAY,off,relay=3;response=3  >relay
1777894080.376675,USB_RELAY,on,relay=3;response=off 3  >
1777894080.3876066,USB_RELAY,off,relay=3;response=relay on
1777894083.3909142,USB_RELAY,on,relay=3;response=3  >relay
1777894083.4021423,USB_RELAY,off,relay=3;response=off 3  >
1777894086.4064054,USB_RELAY,on,relay=3;response=relay on
1777894086.418007,USB_RELAY,off,relay=3;response=3  >relay
1777894089.4194417,USB_RELAY,on,relay=3;response=off 3  >
1777894089.4335854,USB_RELAY,off,relay=3;response=relay on
1777894092.4351578,USB_RELAY,on,relay=3;response=3  >relay
1777894092.448445,USB_RELAY,off,relay=3;response=off 3  >
1777894095.4514246,USB_RELAY,on,relay=3;response=relay on
1777894095.4621649,USB_RELAY,off,relay=3;response=3  >relay
1777894098.4638531,USB_RELAY,on,relay=3;response=off 3  >
1777894098.477173,USB_RELAY,off,relay=3;response=relay on
1777894101.480522,USB_RELAY,on,relay=3;response=3  >relay
1777894101.4909952,USB_RELAY,off,relay=3;response=off 3  >
1777894104.4957988,USB_RELAY,on,relay=3;response=relay on
1777894104.5080378,USB_RELAY,off,relay=3;response=3  >relay
1777894107.509443,USB_RELAY,on,relay=3;response=off 3  >
1777894107.52185,USB_RELAY,off,relay=3;response=relay on
1777894110.523499,USB_RELAY,on,relay=3;response=3  >relay
1777894110.5353837,USB_RELAY,off,relay=3;response=off 3  >
1777894113.536465,USB_RELAY,on,relay=3;response=relay on
1777894113.5520287,USB_RELAY,off,relay=3;response=3  >relay
1777894116.5535653,USB_RELAY,on,relay=3;response=off 3  >
1777894116.5673869,USB_RELAY,off,relay=3;response=relay on
1777894119.571549,USB_RELAY,on,relay=3;response=3  >relay
1777894119.5829158,USB_RELAY,off,relay=3;response=off 3  >
1777894122.5860143,USB_RELAY,on,relay=3;response=relay on
1777894122.5974133,USB_RELAY,off,relay=3;response=3  >relay
1777894125.5983772,USB_RELAY,on,relay=3;response=off 3  >
1777894125.6131556,USB_RELAY,off,relay=3;response=relay on
1777894128.6155,USB_RELAY,on,relay=3;response=3  >relay
1777894128.6290846,USB_RELAY,off,relay=3;response=off 3  >
