1777896330.5108466 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.27171
1777896330.7119226 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.15501
1777896330.9144063 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.12046
1777896331.1169212 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.24047
1777896331.3193815 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.99694
1777896331.5207777 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.89184
1777896331.7223067 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.88848
1777896331.9235003 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.01923
1777896332.124654 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.00948
1777896332.327189 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.77354
1777896332.5286636 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.94810
1777896332.743731 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.85963
1777896332.9453003 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.84403
1777896333.1484365 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.80200
1777896333.3497121 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.72572
1777896333.5512393 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.83051
1777896333.7531772 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.78318
1777896333.9560773 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.67185
1777896334.156956 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.56599
1777896334.3588214 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.64966
1777896334.5601017 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.44518
